 curl -X POST http://127.0.0.1:8008/chat \
    -H "Content-Type: application/json" \
    -H "memberId: test_user" \
    -H "platId: 0" \
    -d '{"sid":"test123","q":"北京三日游"}'
data: {"type": "answer", "text": "<a class=\"sight-link-name\" data-pc=\"https://www.ly.com/scenery/BookSceneryTicket_3000.html?refid=2000386707&from=&if=&of=sc00006565\" data-applet=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=3000\" data-mainMiniApp=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=3000\" data-tcapp=\"tctclient://scenic/scenicDetail?refid=2000386707&from=&if=&of=sc00006565&sid=3000\" href=\"https://m.ly.com/scenery_1/detail?refid=2000386707&from=&if=&of=sc00006565&sceneryId=3000\" target=\"_blank\">天安门广场</a>"}

data: {"type": "answer", "text": "，参观人民英雄"}

data: {"type": "answer", "text": "纪念碑、毛主席纪念堂（"}

data: {"type": "answer", "text": "需提前预约）。"}

data: {"type": "answer", "text": "  \n核心体验："}

data: {"type": "answer", "text": "世界最大城市广场，中轴线核心"}

data: {"type": "answer", "text": "地标。清晨升"}

data: {"type": "answer", "text": "旗仪式庄严肃穆，广场"}

data: {"type": "answer", "text": "四周环绕天安门城楼"}

data: {"type": "answer", "text": "、国家博物馆、"}

data: {"type": "answer", "text": "人民大会堂，"}

data: {"type": "answer", "text": "是感受中国精神"}

data: {"type": "answer", "text": "的必到之地。"}

data: {"type": "answer", "text": "  \n游览攻略："}

data: {"type": "answer", "text": "建议携带身份证，安检"}

data: {"type": "answer", "text": "严格，禁止携带打"}

data: {"type": "answer", "text": "火机、大"}

data: {"type": "answer", "text": "件行李；毛主席"}

data: {"type": "answer", "text": "纪念堂需提前在"}

data: {"type": "answer", "text": "同程旅行APP预约"}

data: {"type": "answer", "text": "，每日限流，"}

data: {"type": "answer", "text": "建议尽早入场。"}

data: {"type": "answer", "text": "\n\n\n\n"}

data: {"type": "answer", "text": "# 09:00"}

data: {"type": "answer", "text": "-10:"}

data: {"type": "answer", "text": "00"}

data: {"type": "answer", "text": " 市内交通"}

data: {"type": "answer", "text": "\n乘坐市内交通至前门站，"}

data: {"type": "answer", "text": "步行至 "}

data: {"type": "answer", "text": "<a class=\"sight-link-name\" data-pc=\"https://www.ly.com/scenery/BookSceneryTicket_3007.html?refid=2000386707&from=&if=&of=sc00006565\" data-applet=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=3007\" data-mainMiniApp=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=3007\" data-tcapp=\"tctclient://scenic/scenicDetail?refid=2000386707&from=&if=&of=sc00006565&sid=3007\" href=\"https://m.ly.com/scenery_1/detail?refid=2000386707&from=&if=&of=sc00006565&sceneryId=3007\" target=\"_blank\">故宫</a>"}

data: {"type": "answer", "text": " 午门入口。  \n推荐理由"}

data: {"type": "answer", "text": "："}

data: {"type": "answer", "text": "从天安门至故宫午门仅需"}

data: {"type": "answer", "text": "步行10分钟，建议"}

data: {"type": "answer", "text": "沿中轴线步行进入"}

data: {"type": "answer", "text": "，感受皇家气派"}

data: {"type": "answer", "text": "；若携带行李，"}

data: {"type": "answer", "text": "可使用"}

data: {"type": "answer", "text": "<a class=\"taxi-link-name\" data-pc=\"https://m.ly.com/car/view/main.html#/specialCarIndex/instantCar\" data-applet=\"/page/newusecar/index/index?btype=car&stype=CAR_NOW&refid=2000200373&wxrefid=2000200373\" data-mainMiniApp=\"/page/newusecar/index/index?btype=car&stype=CAR_NOW&refid=2000200373&wxrefid=2000200373\" data-tcapp=\"tctclient://flutter/page?route=takecar_home&takeCarType=12&refId=2000200373\" href=\"https://m.ly.com/car/view/main.html#/specialCarIndex/instantCar\" target=\"_blank\">同程旅行打车</a>"}

data: {"type": "answer", "text": "直达。"}

data: {"type": "answer", "text": "\n\n\n\n"}

data: {"type": "answer", "text": "# 10:00"}

data: {"type": "answer", "text": "-14:"}

data: {"type": "answer", "text": "00 游"}

data: {"type": "answer", "text": "览景点"}

data: {"type": "answer", "text": "\n深度游览 "}

data: {"type": "answer", "text": "<a class=\"sight-link-name\" data-pc=\"https://www.ly.com/scenery/BookSceneryTicket_3007.html?refid=2000386707&from=&if=&of=sc00006565\" data-applet=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=3007\" data-mainMiniApp=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=3007\" data-tcapp=\"tctclient://scenic/scenicDetail?refid=2000386707&from=&if=&of=sc00006565&sid=3007\" href=\"https://m.ly.com/scenery_1/detail?refid=2000386707&from=&if=&of=sc00006565&sceneryId=3007\" target=\"_blank\">故宫</a>"}

data: {"type": "answer", "text": "，参观太和殿、中"}

data: {"type": "answer", "text": "和殿、保"}

data: {"type": "answer", "text": "和殿、乾"}

data: {"type": "answer", "text": "清宫、坤"}

data: {"type": "answer", "text": "宁宫及珍宝馆。"}

data: {"type": "answer", "text": "  \n核心体验："}

data: {"type": "answer", "text": "明清两代24位皇帝的居"}

data: {"type": "answer", "text": "所，72万平方米"}

data: {"type": "answer", "text": "宫殿群，90"}

data: {"type": "answer", "text": "00余间"}

data: {"type": "answer", "text": "房屋，馆藏文物超"}

data: {"type": "answer", "text": "186万件。"}

data: {"type": "answer", "text": "中轴线建筑"}

data: {"type": "answer", "text": "恢弘壮丽，珍"}

data: {"type": "answer", "text": "宝馆内金器"}

data: {"type": "answer", "text": "玉器璀璨夺目，堪称"}

data: {"type": "answer", "text": "中华文明的巅峰"}

data: {"type": "answer", "text": "缩影。"}

data: {"type": "answer", "text": "  \n游览攻略："}

data: {"type": "answer", "text": "建议租用电子讲解器（"}

data: {"type": "answer", "text": "约30元）或"}

data: {"type": "answer", "text": "跟随导游，重点"}

data: {"type": "answer", "text": "打卡“三大殿”与"}

data: {"type": "answer", "text": "“后三宫”"}

data: {"type": "answer", "text": "；珍宝馆"}

data: {"type": "answer", "text": "需另购票，建议"}

data: {"type": "answer", "text": "预留1小时；"}

data: {"type": "answer", "text": "神武门为"}

data: {"type": "answer", "text": "出口，直对"}

data: {"type": "answer", "text": "景山公园。"}

data: {"type": "answer", "text": "\n\n\n\n"}

data: {"type": "answer", "text": "# 14:00-14:30 午餐"}

data: {"type": "answer", "text": "\n"}

data: {"type": "answer", "text": "在故宫冰窖餐厅用午餐，推荐宫廷"}

data: {"type": "answer", "text": "风味套餐、御"}

data: {"type": "answer", "text": "膳小点，环境"}

data: {"type": "answer", "text": "古雅，可"}

data: {"type": "answer", "text": "边用餐边欣赏"}

data: {"type": "answer", "text": "故宫一角。"}

data: {"type": "answer", "text": "\n\n\n\n"}

data: {"type": "answer", "text": "# 14:30"}

data: {"type": "answer", "text": "-15:"}

data: {"type": "answer", "text": "30 游"}

data: {"type": "answer", "text": "览景点"}

data: {"type": "answer", "text": "\n步行至 "}

data: {"type": "answer", "text": "<a class=\"sight-link-name\" data-pc=\"https://www.ly.com/scenery/BookSceneryTicket_3510.html?refid=2000386707&from=&if=&of=sc00006565\" data-applet=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=3510\" data-mainMiniApp=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=3510\" data-tcapp=\"tctclient://scenic/scenicDetail?refid=2000386707&from=&if=&of=sc00006565&sid=3510\" href=\"https://m.ly.com/scenery_1/detail?refid=2000386707&from=&if=&of=sc00006565&sceneryId=3510\" target=\"_blank\">景山公园</a>"}

data: {"type": "answer", "text": "，登顶万春亭，"}

data: {"type": "answer", "text": "俯瞰故宫全"}

data: {"type": "answer", "text": "貌。  \n核心"}

data: {"type": "answer", "text": "体验："}

data: {"type": "answer", "text": "北京中轴线制"}

data: {"type": "answer", "text": "高点，登"}

data: {"type": "answer", "text": "顶后可一览"}

data: {"type": "answer", "text": "紫禁城金"}

data: {"type": "answer", "text": "瓦红墙、"}

data: {"type": "answer", "text": "鳞次栉比的宫殿"}

data: {"type": "answer", "text": "群，是拍摄故宫全景的最佳"}

data: {"type": "answer", "text": "机位，尤其"}

data: {"type": "answer", "text": "夕阳时分光影"}

data: {"type": "answer", "text": "绝美。"}

data: {"type": "answer", "text": "  \n游览攻略："}

data: {"type": "answer", "text": "门票仅2元，无需预约；建议从"}

data: {"type": "answer", "text": "北门进入，沿"}

data: {"type": "answer", "text": "中轴线缓"}

data: {"type": "answer", "text": "步登顶，"}

data: {"type": "answer", "text": "约20分钟可达"}

data: {"type": "answer", "text": "万春亭；山顶"}

data: {"type": "answer", "text": "风大，建议"}

data: {"type": "answer", "text": "备薄外套。"}

data: {"type": "answer", "text": "\n\n\n\n"}

data: {"type": "answer", "text": "# 15:30"}

data: {"type": "answer", "text": "-16:"}

data: {"type": "answer", "text": "30 市内交通"}

data: {"type": "answer", "text": "\n乘坐市内交通至"}

data: {"type": "answer", "text": "前门站，"}

data: {"type": "answer", "text": "步行至 "}

data: {"type": "answer", "text": "<a class=\"sight-link-name\" data-pc=\"https://www.ly.com/scenery/BookSceneryTicket_949510.html?refid=2000386707&from=&if=&of=sc00006565\" data-applet=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=949510\" data-mainMiniApp=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=949510\" data-tcapp=\"tctclient://scenic/scenicDetail?refid=2000386707&from=&if=&of=sc00006565&sid=949510\" href=\"https://m.ly.com/scenery_1/detail?refid=2000386707&from=&if=&of=sc00006565&sceneryId=949510\" target=\"_blank\">前门大街</a>"}

data: {"type": "answer", "text": "。  \n推荐理由"}

data: {"type": "answer", "text": "："}

data: {"type": "answer", "text": "前门大街为明清商业古街，步行"}

data: {"type": "answer", "text": "可达，沿途老字号"}

data: {"type": "answer", "text": "林立，是"}

data: {"type": "answer", "text": "体验老北京市"}

data: {"type": "answer", "text": "井文化与美食的绝佳起点"}

data: {"type": "answer", "text": "。"}

data: {"type": "answer", "text": "\n\n\n\n"}

data: {"type": "answer", "text": "# 16:30"}

data: {"type": "answer", "text": "-19:"}

data: {"type": "answer", "text": "00 游"}

data: {"type": "answer", "text": "览景点"}

data: {"type": "answer", "text": "\n游览 "}

data: {"type": "answer", "text": "<a class=\"sight-link-name\" data-pc=\"https://www.ly.com/scenery/BookSceneryTicket_949510.html?refid=2000386707&from=&if=&of=sc00006565\" data-applet=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=949510\" data-mainMiniApp=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=949510\" data-tcapp=\"tctclient://scenic/scenicDetail?refid=2000386707&from=&if=&of=sc00006565&sid=949510\" href=\"https://m.ly.com/scenery_1/detail?refid=2000386707&from=&if=&of=sc00006565&sceneryId=949510\" target=\"_blank\">前门大街</a>"}

data: {"type": "answer", "text": "，"}

data: {"type": "answer", "text": "打卡便宜坊、"}

data: {"type": "answer", "text": "全聚德、"}

data: {"type": "answer", "text": "都一处烧麦、"}

data: {"type": "answer", "text": "爆肚、糖"}

data: {"type": "answer", "text": "葫芦。  \n核心"}

data: {"type": "answer", "text": "体验："}

data: {"type": "answer", "text": "百年商业街，青"}

data: {"type": "answer", "text": "砖灰瓦间"}

data: {"type": "answer", "text": "藏着老北京的烟火"}

data: {"type": "answer", "text": "气。烤鸭香气"}

data: {"type": "answer", "text": "四溢，糖"}

data: {"type": "answer", "text": "葫芦晶莹剔透，"}

data: {"type": "answer", "text": "爆肚脆嫩爽口，"}

data: {"type": "answer", "text": "是味觉与视觉的双重"}

data: {"type": "answer", "text": "盛宴。"}

data: {"type": "answer", "text": "  \n游览攻略："}

data: {"type": "answer", "text": "建议避开17:00–"}

data: {"type": "answer", "text": "18:0"}

data: {"type": "answer", "text": "0高峰人流；"}

data: {"type": "answer", "text": "全聚德可"}

data: {"type": "answer", "text": "选前门店，"}

data: {"type": "answer", "text": "便宜坊以焖炉烤"}

data: {"type": "answer", "text": "鸭闻名；可顺"}

data: {"type": "answer", "text": "路逛大栅栏，"}

data: {"type": "answer", "text": "体验百年老店如"}

data: {"type": "answer", "text": "瑞蚨祥、"}

data: {"type": "answer", "text": "张一元。"}

data: {"type": "answer", "text": "\n\n\n\n"}

data: {"type": "answer", "text": "# 19:00-"}

data: {"type": "answer", "text": "19:4"}

data: {"type": "answer", "text": "5 市内交通"}

data: {"type": "answer", "text": "\n乘坐市内交通返回"}

data: {"type": "answer", "text": " "}

data: {"type": "answer", "text": "<a class=\"hotel-link-name\" data-pc=\"https://www.ly.com/hotel/hoteldetail?a=b&hotelId=27776987&inDate=2026-05-12&outDate=2026-05-14&refId=2000305426&refid=2000305426\" data-mainMiniApp=\"/page/hotel/pages/sky/detail/index?a=b&hotelid=27776987&isOutLand=0&indate=2026-05-12&outdate=2026-05-14&timeZone=8&refId=2000305426&refid=2000305426\" data-tcapp=\"tctclient://hotel/details?a=b&hotelId=27776987&checkIn=2026-05-12&checkOut=2026-05-14&isGAT=0&isGlobal=0&refId=2000305426&refid=2000305426\" data-elapp=\"eltclient://hotel/details?a=b&hotelId=27776987&checkIn=2026-05-12&checkOut=2026-05-14&isGAT=0&isGlobal=0&refId=2000305426&refid=2000305426\" data-hopegooapp=\"\" data-cstMiniApp=\"/pages/subHotel/pages/detail/detail?refid=&hotelid=27776987&indate=2026-05-12&outdate=2026-05-14&refId=2000305426&refid=2000305426\" href=\"https://m.ly.com/hotel/hoteldetail?a=b&hotelId=27776987&inDate=2026-05-12&outDate=2026-05-14&refId=2000305426&refid=2000305426\" target=\"_blank\">北京华旅宾馆</a>"}

data: {"type": "answer", "text": " 办理入住。"}

data: {"type": "answer", "text": "  \n推荐理由："}

data: {"type": "answer", "text": "酒店位于建国门内"}

data: {"type": "answer", "text": "大街，距前"}

data: {"type": "answer", "text": "门约6公里，交通"}

data: {"type": "answer", "text": "便利，步行可达北京"}

data: {"type": "answer", "text": "站，周边治安"}

data: {"type": "answer", "text": "良好，24小时前"}

data: {"type": "answer", "text": "台与安保系统"}

data: {"type": "answer", "text": "完善，适合夜间"}

data: {"type": "answer", "text": "归宿。"}

data: {"type": "answer", "text": "\n\n\n\n"}

data: {"type": "answer", "text": "# 19:45-21:00 自"}

data: {"type": "answer", "text": "由活动"}

data: {"type": "answer", "text": "\n休息调整，可于酒店茶室小憩，或在"}

data: {"type": "answer", "text": "房间欣赏窗外城市"}

data: {"type": "answer", "text": "夜景。\n"}

data: {"type": "answer", "text": "\n\n"}

data: {"type": "answer", "text": "\n\n\n"}

data: {"type": "answer", "text": "# Day2 🪔 天坛祈福·胡同里的文脉回响"}

data: {"type": "answer", "text": "\n\n\n"}

data: {"type": "answer", "text": "# 07:30"}

data: {"type": "answer", "text": "-08:"}

data: {"type": "answer", "text": "30 早餐"}

data: {"type": "answer", "text": "\n在 "}

data: {"type": "answer", "text": "<a class=\"hotel-link-name\" data-pc=\"https://www.ly.com/hotel/hoteldetail?a=b&hotelId=27776987&inDate=2026-05-12&outDate=2026-05-14&refId=2000305426&refid=2000305426\" data-mainMiniApp=\"/page/hotel/pages/sky/detail/index?a=b&hotelid=27776987&isOutLand=0&indate=2026-05-12&outdate=2026-05-14&timeZone=8&refId=2000305426&refid=2000305426\" data-tcapp=\"tctclient://hotel/details?a=b&hotelId=27776987&checkIn=2026-05-12&checkOut=2026-05-14&isGAT=0&isGlobal=0&refId=2000305426&refid=2000305426\" data-elapp=\"eltclient://hotel/details?a=b&hotelId=27776987&checkIn=2026-05-12&checkOut=2026-05-14&isGAT=0&isGlobal=0&refId=2000305426&refid=2000305426\" data-hopegooapp=\"\" data-cstMiniApp=\"/pages/subHotel/pages/detail/detail?refid=&hotelid=27776987&indate=2026-05-12&outdate=2026-05-14&refId=2000305426&refid=2000305426\" href=\"https://m.ly.com/hotel/hoteldetail?a=b&hotelId=27776987&inDate=2026-05-12&outDate=2026-05-14&refId=2000305426&refid=2000305426\" target=\"_blank\">北京华旅宾馆</a>"}

data: {"type": "answer", "text": " "}

data: {"type": "answer", "text": "享用早餐，酒店"}

data: {"type": "answer", "text": "提供中式简餐，可"}

data: {"type": "answer", "text": "选粥品、包子"}

data: {"type": "answer", "text": "、豆浆等。\n\n"}

data: {"type": "answer", "text": "\n\n"}

data: {"type": "answer", "text": "# 08:30"}

data: {"type": "answer", "text": "-09:"}

data: {"type": "answer", "text": "30"}

data: {"type": "answer", "text": " 市内交通"}

data: {"type": "answer", "text": "\n乘坐市内交通至天"}

data: {"type": "answer", "text": "坛东门站"}

data: {"type": "answer", "text": "，步行至 "}

data: {"type": "answer", "text": "<a class=\"sight-link-name\" data-pc=\"https://www.ly.com/scenery/BookSceneryTicket_4464.html?refid=2000386707&from=&if=&of=sc00006565\" data-applet=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=4464\" data-mainMiniApp=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=4464\" data-tcapp=\"tctclient://scenic/scenicDetail?refid=2000386707&from=&if=&of=sc00006565&sid=4464\" href=\"https://m.ly.com/scenery_1/detail?refid=2000386707&from=&if=&of=sc00006565&sceneryId=4464\" target=\"_blank\">天坛公园</a>"}

data: {"type": "answer", "text": "。  \n推荐理由"}

data: {"type": "answer", "text": "："}

data: {"type": "answer", "text": "酒店至天坛约7公里，建议选择"}

data: {"type": "answer", "text": "地铁5号线转"}

data: {"type": "answer", "text": "14号线，或"}

data: {"type": "answer", "text": "使用"}

data: {"type": "answer", "text": "<a class=\"taxi-link-name\" data-pc=\"https://m.ly.com/car/view/main.html#/specialCarIndex/instantCar\" data-applet=\"/page/newusecar/index/index?btype=car&stype=CAR_NOW&refid=2000200373&wxrefid=2000200373\" data-mainMiniApp=\"/page/newusecar/index/index?btype=car&stype=CAR_NOW&refid=2000200373&wxrefid=2000200373\" data-tcapp=\"tctclient://flutter/page?route=takecar_home&takeCarType=12&refId=2000200373\" href=\"https://m.ly.com/car/view/main.html#/specialCarIndex/instantCar\" target=\"_blank\">同程旅行打车</a>"}

data: {"type": "answer", "text": "直达，节省体力"}

data: {"type": "answer", "text": "，避免日晒。"}

data: {"type": "answer", "text": "\n\n\n\n"}

data: {"type": "answer", "text": "# 09:30-12:00"}

data: {"type": "answer", "text": " 游览景点"}

data: {"type": "answer", "text": "\n游览 "}

data: {"type": "answer", "text": "<a class=\"sight-link-name\" data-pc=\"https://www.ly.com/scenery/BookSceneryTicket_4464.html?refid=2000386707&from=&if=&of=sc00006565\" data-applet=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=4464\" data-mainMiniApp=\"/page/top/pages/scenery/detail/detail?refid=2000386707&from=&if=&of=sc00006565&sid=4464\" data-tcapp=\"tctclient://scenic/scenicDetail?refid=2000386707&from=&if=&of=sc00006565&sid=4464\" href=\"https://m.ly.com/scenery_1/detail?refid=2000386707&from=&if=&of=sc00006565&sceneryId=4464\" target=\"_blank\">天坛公园</a>"}

data: {"type": "answer", "text": "，参观祈年"}

data: {"type": "answer", "text": "殿、皇穹"}

